iter	Passed	Remaining
0	11874	581861
1	18276	438633
2	23661	370689
3	28855	331833
4	34060	306540
5	39138	287012
6	44088	270829
7	49022	257366
8	54178	246810
9	59110	236443
10	63835	226325
11	68641	217364
12	73649	209618
13	78463	201762
14	83545	194939
15	88534	188136
16	93501	181502
17	98430	174988
18	103263	168483
19	107935	161902
20	113449	156668
21	118516	150839
22	123509	144989
23	128419	139121
24	133390	133390
25	138384	127739
26	143498	122239
27	148469	116654
28	153441	111113
29	158446	105630
30	163532	100229
31	168640	94860
32	173699	89481
33	178724	84105
34	183690	78724
35	188581	73337
36	193507	67989
37	198435	62663
38	203455	57384
39	208461	52115
40	213470	46859
41	218446	41608
42	223451	36375
43	228497	31158
44	233501	25944
45	238507	20739
46	243444	15539
47	248437	10351
48	253489	5173
49	258589	0
